,product_name,product_price,productDesc,product_img,product_buy
0,Nike,Rs. 3235,Men Downshifter Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23315048/2023/5/20/36d4ab76-ca38-454a-acf1-2356f84c48401684599845006NikeDownshifter11MensRoadRunningShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-men-downshifter-11-road-running-shoes/23315048/buy
1,Nike,Rs. 2771,Men Revolution 6 Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25503816/2023/10/16/7eed51fd-564e-42fd-8a9e-6f6e93809fc61697471889347NikeMenRevolutionRoadRunningShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-men-revolution-6-running-shoes/25503816/buy
2,Nike,Rs. 3246,Men Flex 10 Road Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23315076/2023/5/20/814e5dfa-462c-42ff-8594-287f4adf91301684598865486NikeFlexExperienceRun10MensRoadRunningShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-men-flex-experience-run-10-road-running-shoes/23315076/buy
3,Nike,Rs. 2771,Men Revolution 6 Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25503812/2023/10/16/7b204e7d-c4e3-4353-847c-483049ca67861697471889312NikeMenRevolutionRunningShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-men-revolution-6-running-shoes/25503812/buy
4,Nike,Rs. 3746,Men Flex Road Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23719694/2024/1/3/0a32402f-ed02-43ca-bb3a-e5a4ba84089e1704281548526NikeMenFlexExperience11RoadRunningShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-men-flex-experience-11-road-running-shoes/23719694/buy
5,Nike,Rs. 3246,Flex Experience Run 11 Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22564012/2023/12/13/9ed2b2bb-04a6-4938-8697-4a7206c89c201702458089425NikeMenSolidFlexExperienceRun11NextNatureRoadRunningShoes2.jpg",https://www.myntra.com/sports-shoes/nike/nike-men-solid-flex-experience-run-11-next-nature-road-running-shoes/22564012/buy
6,Nike,not mentioned ,Women Court Tennis Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23719844/2024/1/3/dbaf6ca7-0646-402f-8ab1-10644f0a65a01704281523866NikeWomenCourtRoyale2NextNatureTennisShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-women-court-royale-2-next-nature-tennis-shoes/23719844/buy
7,Nike,Rs. 2771,Women REVOLUTION 5  Running,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10714394/2023/12/26/631c21d1-0460-4803-bb14-445896abe0421703589462117NikeWomenBlackREVOLUTION5RunningShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-women-black-revolution-5-running-shoes/10714394/buy
8,Nike,Rs. 2992,Revolution 6 Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25057476/2023/9/30/2b907272-e3fe-47d6-850c-b7142da493641696096223586NikeWomenTexturedRoadRunningSportsShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-women-revolution-6-textured-road-running-sports-shoes/25057476/buy
9,Nike,Rs. 3235,Women DOWNSHIFTER 11 Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14528424/2023/12/13/d4a29a3d-439f-4dd1-97af-9da9a9d390c11702451325648NikeWomenCream-ColouredDOWNSHIFTER11RunningShoes2.jpg",https://www.myntra.com/sports-shoes/nike/nike-women-cream-coloured-downshifter-11-running-shoes/14528424/buy
10,Nike,Rs. 2992,Revolution 7 Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25205550/2023/9/28/c85d4bc7-0392-4453-b214-6fa69f2950971695875617759NikeWomenTexturedRoadRunningSportsShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-textured-road-running-sports-shoes/25205550/buy
11,Nike,Rs. 2992,Women Revolution 6 NN Running,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-blue-revolution-6-next-nature-running-shoes/15384920/buy
12,Nike,Rs. 2992,Revolution 7 Road Running Shoe,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-road-running-shoes/25145552/buy
13,Nike,not mentioned ,Downshifter 12 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-downshifter-12-textured-road-running-sports-shoes/25057512/buy
14,Nike,Rs. 2771,Women REVOLUTION 5 Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-white-revolution-5-running-shoes/11979652/buy
15,Nike,Rs. 3235,Women Downshifter 11 Running,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-black-downshifter-11-running-shoes/15384862/buy
16,Nike,Rs. 2996,Down Shifter 11 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-black-woven-design-down-shifter-11-running-shoes-/13762768/buy
17,Nike,not mentioned ,Women Revolution Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-running-shoes/26142006/buy
18,Nike,not mentioned ,Women Revolution 6 Running,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-black-revolution-6-next-nature-running-shoes/15385018/buy
19,Nike,not mentioned ,Revolution 7 Road Running Shoe,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-road-running-shoes/25507680/buy
20,Nike,Rs. 2771,Women REVOLUTION Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-black-revolution-5-running-shoes/13762840/buy
21,Nike,not mentioned ,Women DOWNSHIFTER 12 Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-pink--downshifter-12-running-shoes/17205494/buy
22,Nike,not mentioned ,Women DS 12 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-black-downshifter-12-running-shoes/18800802/buy
23,Nike,Rs. 2997,Women Run 11 Running  Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-flex-experience-11-running-shoes/23314830/buy
24,Nike,not mentioned ,Revolution 7 Road Running Shoe,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-road-running-shoes/25205554/buy
25,Nike,not mentioned ,Women DOWNSHIFTER Running Shoe,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-white-downshifter-12-running-shoes/17205560/buy
