,product_name,product_price,productDesc,product_img,product_buy
0,mens Revolution 5 Running  ,$69.79,300+ bought in past month,https://m.media-amazon.com/images/I/51t3v0drWbL._AC_UL320_.jpg,https://amazon.com/Nike-Revolution-Running-White-Anthracite-Regular/dp/B07NLVK1NH/ref=sr_1_1?keywords=nike+shoes&qid=1707572085&sr=8-1
1,Men's Low Neck top  ,$160.00,100+ bought in past month,https://m.media-amazon.com/images/I/61r6Sjr5snL._AC_UL320_.jpg,https://amazon.com/NIKE-Running-Shoes-Black-White-AH8050-100/dp/B078WZXRDJ/ref=sr_1_2?keywords=nike+shoes&qid=1707572085&sr=8-2
2,mens Blazer Mid 77 Vintage  ,$83.20,100+ bought in past month,https://m.media-amazon.com/images/I/71aw2Z+2WML._AC_UL320_.jpg,https://amazon.com/Blazer-Mid-VNTG-White-Black/dp/B07R2WX8XX/ref=sr_1_3?keywords=nike+shoes&qid=1707572085&sr=8-3
3,Men's Court Vision Lo Sneaker  ,$79.99,100+ bought in past month,https://m.media-amazon.com/images/I/61sQ-KhhfnL._AC_UL320_.jpg,https://amazon.com/Nike-Vision-Sneaker-Whiteblack-Regular/dp/B07NN3HVKZ/ref=sr_1_4?keywords=nike+shoes&qid=1707572085&sr=8-4
4,mens Court Legacy  ,$79.99,100+ bought in past month,https://m.media-amazon.com/images/I/6106ncT64HL._AC_UL320_.jpg,https://amazon.com/Nike-Training-Gymnastics-White-Desert/dp/B08TR7Y16H/ref=sr_1_5?keywords=nike+shoes&qid=1707572085&sr=8-5
5,Nike Men's Lunar MVP Pregame  ,$118.85,not mentioned ,https://m.media-amazon.com/images/I/51VccPrqM8L._AC_UL320_.jpg,https://amazon.com/Jordan-Shoes-University-DQ8426-401/dp/B0CD66DL7P/ref=sr_1_6?keywords=nike+shoes&qid=1707572085&sr=8-6
6,Men's Gymnastics Shoes  ,$106.99,50+ bought in past month,https://m.media-amazon.com/images/I/41MvtTS3T6L._AC_UL320_.jpg,https://amazon.com/Nike-Mens-Basketball-White-11/dp/B08QB2CYM4/ref=sr_1_7?keywords=nike+shoes&qid=1707572085&sr=8-7
7,womens Blazer Mid 77  ,$105.00,100+ bought in past month,https://m.media-amazon.com/images/I/41tPjFdzo8L._AC_UL320_.jpg,https://amazon.com/Nike-Womens-Basketball-White-Black/dp/B08HFMQS27/ref=sr_1_8?keywords=nike+shoes&qid=1707572085&sr=8-8
8,Men's Training Shoes  ,$46.07,not mentioned ,https://m.media-amazon.com/images/I/71w3EChZYuL._AC_UL320_.jpg,https://amazon.com/Nike-Women-Legend-Essential-Light/dp/B098PB8FHH/ref=sr_1_9?keywords=nike+shoes&qid=1707572085&sr=8-9
9,mens Roshe One  ,$56.61,100+ bought in past month,https://m.media-amazon.com/images/I/61jYK834YfS._AC_UL320_.jpg,https://amazon.com/NIKE-511881-023-Rosherun-Sneakers-NIKEWOLF/dp/B00L8911FK/ref=sr_1_10?keywords=nike+shoes&qid=1707572085&sr=8-10
10,mens Revolution 6 Road Running  ,$61.94,50+ bought in past month,https://m.media-amazon.com/images/I/61lSEV-bo9L._AC_UL320_.jpg,https://amazon.com/Nike-Revolution-Running-White-Smoke-Numeric_9/dp/B098PCKGC3/ref=sr_1_11?keywords=nike+shoes&qid=1707572085&sr=8-11
11,"Men's Sneaker,Running Shoes  ",$95.00,100+ bought in past month,https://m.media-amazon.com/images/I/71wbXtpEwQL._AC_UL320_.jpg,https://amazon.com/Nike-Torch-Running-Shoes-Black/dp/B001CQ3CG0/ref=sr_1_12?keywords=nike+shoes&qid=1707572085&sr=8-12
12,Men's Basketball Shoes  ,$88.59,not mentioned ,https://m.media-amazon.com/images/I/51DLbBaJTmL._AC_UL320_.jpg,https://amazon.com/Nike-Vision-Trainers-Sneakers-Green-Medium/dp/B0BS9YFSRP/ref=sr_1_13?keywords=nike+shoes&qid=1707572085&sr=8-13
13,Men's Sneaker  ,$52.98,not mentioned ,https://m.media-amazon.com/images/I/51iI1EHB0LL._AC_UL320_.jpg,https://amazon.com/Nike-Running-Obsidian-Footwear-Numeric/dp/B09XY1J742/ref=sr_1_14?keywords=nike+shoes&qid=1707572085&sr=8-14
14,Women's Race Running Shoe  ,$55.18,100+ bought in past month,https://m.media-amazon.com/images/I/51jrMl69ogL._AC_UL320_.jpg,https://amazon.com/Nike-Revolution-Shoes-Black-White/dp/B098BJKDKY/ref=sr_1_15?keywords=nike+shoes&qid=1707572085&sr=8-15
15,Men's Sneaker  ,$100.00,50+ bought in past month,https://m.media-amazon.com/images/I/51+z7E8P3hL._AC_UL320_.jpg,https://amazon.com/Nike-Huarache-Fashion-Sneakers-Black/dp/B09J3KBSD5/ref=sr_1_16?keywords=nike+shoes&qid=1707572085&sr=8-16
16,Men's Running Low  ,$85.95,not mentioned ,https://m.media-amazon.com/images/I/71dXooyZDhL._AC_UL320_.jpg,https://amazon.com/Nike-Womens-Low-Top-Sneakers-Oxford/dp/B0BNJKXG9C/ref=sr_1_21?keywords=nike+shoes&qid=1707572085&sr=8-21
17,mens Air Monarch IV  ,$74.99,not mentioned ,https://m.media-amazon.com/images/I/616+HDJtW7L._AC_UL320_.jpg,https://amazon.com/NIKE-Mens-Monarch-Athletic-black/dp/B000GMH2VW/ref=sr_1_22?keywords=nike+shoes&qid=1707572085&sr=8-22
18,"Men's Sneakers, 9 AU  ",$153.99,not mentioned ,https://m.media-amazon.com/images/I/61bAB8ZTWdL._AC_UL320_.jpg,https://amazon.com/Nike-Tuned-Fabric-Trainer-Shoes/dp/B00HGVBNQ6/ref=sr_1_23?keywords=nike+shoes&qid=1707572085&sr=8-23
19,Men's Killshot 2  ,$86.60,100+ bought in past month,https://m.media-amazon.com/images/I/71bEY0bfGTL._AC_UL320_.jpg,https://amazon.com/Nike-Killshot-Midnight-Navy-gum-Yellow/dp/B00770CAOA/ref=sr_1_24?keywords=nike+shoes&qid=1707572085&sr=8-24
20,Mens GTS 97 DA1446 003 - Size 11 Black/Black/Black  ,$61.93,50+ bought in past month,https://m.media-amazon.com/images/I/61ynHDVZTWL._AC_UL320_.jpg,https://amazon.com/Nike-Mens-GTS-DA1446-003/dp/B0BS1YM65P/ref=sr_1_29?keywords=nike+shoes&qid=1707572085&sr=8-29
21,Men's Basketball Three Quarters Tall  ,$69.99,50+ bought in past month,https://m.media-amazon.com/images/I/71GjvGcljJL._AC_UL320_.jpg,https://amazon.com/Nike-Immortality-Gold-Black-us_footwear_size_system-numeric_11/dp/B0BX4JTW1K/ref=sr_1_30?keywords=nike+shoes&qid=1707572085&sr=8-30
22,Mens Free Run 2018 Road Running  ,$97.79,50+ bought in past month,https://m.media-amazon.com/images/I/61DOxGmyIxL._AC_UL320_.jpg,https://amazon.com/Nike-Running-Shoes-Triple-Black/dp/B0C3PFM2F4/ref=sr_1_31?keywords=nike+shoes&qid=1707572085&sr=8-31
23,mens Free Run Flyknit 2018 Running  ,$74.00,50+ bought in past month,https://m.media-amazon.com/images/I/81nadvAWG+L._AC_UL320_.jpg,https://amazon.com/NIKE-Flyknit-Running-Shoes-Black/dp/B079ZJSBM1/ref=sr_1_32?keywords=nike+shoes&qid=1707572085&sr=8-32
24,mens Air Force 1 Low Retro  ,$115.00,100+ bought in past month,https://m.media-amazon.com/images/I/41kdJzwNmDL._AC_UL320_.jpg,https://amazon.com/Nike-Mens-Basketball-White-Black/dp/B08QB1X4GC/ref=sr_1_37?keywords=nike+shoes&qid=1707572085&sr=8-37
25,Men's Basketball Shoe  ,not mentioned ,100+ bought in past month,https://m.media-amazon.com/images/I/51RFfemMaoL._AC_UL320_.jpg,https://amazon.com/Nike-Mens-Basketball-White-Black/dp/B08Q9SCLXM/ref=sr_1_38?keywords=nike+shoes&qid=1707572085&sr=8-38
26,womens Dunk Low  ,not mentioned ,100+ bought in past month,https://m.media-amazon.com/images/I/51mNlxDSv1L._AC_UL320_.jpg,https://amazon.com/Nike-Womens-DD1503-Black-White/dp/B08QBZRKJW/ref=sr_1_39?keywords=nike+shoes&qid=1707572085&sr=8-39
27,"Women's Low-Top Sneakers, 11 US  ",not mentioned ,200+ bought in past month,https://m.media-amazon.com/images/I/516uK2ZxwPL._AC_UL320_.jpg,https://amazon.com/Nike-Womens-Legacy-Running-BLACK-HEMP-TEAM/dp/B0B6FN5W17/ref=sr_1_40?keywords=nike+shoes&qid=1707572085&sr=8-40
28,Women's Court Vision Low Sneaker  ,not mentioned ,not mentioned ,https://m.media-amazon.com/images/I/71CZzNC1hqL._AC_UL320_.jpg,https://amazon.com/Nike-Womens-Vision-Oxford-DH3158/dp/B09NRX94YS/ref=sr_1_41?keywords=nike+shoes&qid=1707572085&sr=8-41
29,Women's Gymnastics Shoes Sneaker  ,$70.00,500+ bought in past month,https://m.media-amazon.com/images/I/41K6zZr+vzL._AC_UL320_.jpg,https://amazon.com/Nike-Womens-Legacy-Sneaker-Desert/dp/B08SBPPP4M/ref=sr_1_42?keywords=nike+shoes&qid=1707572085&sr=8-42
